1.9.0,15-01-2024,195,DOC-280 Aggiungere tabella con totali requisiti in calce al documento,Todesco Mattia,Zaccone Rosario
1.8.0,15-01-2024,172,DOC-326 Ultimi capitoli e review in ottica RTB,Oseliero Antonio,Carraro Riccardo
1.7.1,13-01-2024,178,DOC-258 Correggere dichiarazione tabelle analisi dei requisiti,Oseliero Antonio,Carraro Riccardo
1.7.0,30-12-2023,128,DOC-195 Implementare tracciamento requisito fonte,Zaccone Rosario,Oseliero Antonio
1.6.0,28-12-2023,123,DOC-194 Rendere gli UC in forma tabellare requisiti funzionali,Zaccone Rosario,Oseliero Antonio
1.5.1,15-12-2023,102,DOC-226 Scomporre UC secondo feedback del Professor Cardin,Banzato Alessio,Todesco Mattia
1.5.0,14-12-2023,94,DOC-197 Definzione requisiti di vincolo,Gardin Giovanni,Todesco Mattia
1.4.1,12-12-2023,91,DOC-250 Correggere sezione degli UC del file Analisi dei requisiti,Banzato Alessio,Todesco Mattia
1.4.0,10-12-2023,78,DOC-192 Redigere sezione Introduzione e Descrizione del prodotto,Gardin Giovanni,Todesco Mattia
1.3.0,10-12-2023,88,DOC-196 Redigere requisiti di qualità,Gardin Giovanni,Todesco Mattia
1.2.8,05-12-2023,71,DOC-38 Analisi dei requisiti,Nardo Silvio,Gardin Giovanni
1.2.7,05-12-2023,67,DOC-188 Completato UC-7,Oseliero Antonio,Carraro Riccardo
1.2.6,05-12-2023,66,DOC-187 Completamento UC-6,Oseliero Antonio,Carraro Riccardo
1.2.5,04-12-2023,62,DOC-186 Completamento UC-5,Oseliero Antonio,Carraro Riccardo
1.2.4,04-12-2023,57,DOC-185 Completamento UC-4,Oseliero Antonio,Carraro Riccardo
1.2.3,04-12-2023,56,DOC-184 Completamento UC-3,Oseliero Antonio,Carraro Riccardo
1.2.2,03-12-2023,54,DOC-183 Completamento UC-2,Carraro Riccardo,Oseliero Antonio
1.2.1,03-12-2023,54,DOC-182 Completamento UC-1,Carraro Riccardo,Oseliero Antonio
1.2.0,28-11-2023,39,DOC-100 Aggiungere UC da 7 a 11,Banzato Alessio,Oseliero Antonio
1.1.0,27-11-2023,37,DOC-97 Aggiunto file Analisi dei Requisiti con UC fino alla 6.1,Nardo Silvio,Carraro Riccardo
1.1.0,27-11-2023,37,DOC-97 Aggiunto file Analisi dei Requisiti con UC fino alla 6.1,Nardo Silvio,Oseliero Antonio
1.0.0,18-11-2023,15,DOC-71 Pubblicazione Analisi dei Requisiti,Banzato Alessio,Todesco Mattia
